champion;genre;role;espece;ressource;type-de-portee;region;year;
Aatrox;Masculin;Haut;Darkin;Sans Mana;Mêlée;Runeterra - Shurima;2013;
Ahri;Feminin;Milieu;Vastaya;Mana;À distance;Ionia;2011;
Akali;Feminin;Milieu;Humain;Énergie;Mêlée;Ionia;2010;
Akshan;Masculin;Milieu;Humain;Mana;À distance;Shurima;2021;
Alistar;Masculin;Support;Minotaure;Mana;Mêlée;Runeterra;2009;
Ambessa;Feminin;Jungle - Haut;Humain;Énergie;Mêlée;Noxus - Piltover;2024;
Amumu;Masculin;Jungle;Mort-vivant - Yordle;Mana;Mêlée;Shurima;2009;
Anivia;Feminin;Milieu;Dieu - Esprit;Mana;À distance;Freljord;2009;
Annie;Feminin;Milieu;Humain - Né magique;Mana;À distance;Noxus - Runeterra;2009;
Aphelios;Masculin;Bas;Humain - Spiritualiste;Mana;À distance;Targon;2019;
Ashe;Feminin;Bas;Humain - Né de glace;Mana;À distance;Freljord;2009;
Aurelion Sol;Masculin;Milieu;Céleste - Dragon;Mana;À distance;Runeterra - Targon;2016;
Aurora;Feminin;Milieu - Haut;Vastaya;Mana;À distance;Freljord;2024;
Azir;Masculin;Milieu;Dieu-Guerrier;Mana;À distance;Shurima;2014;
Bard;Masculin;Support;Céleste;Mana;À distance;Runeterra;2015;
Bel'Veth;Feminin;Jungle;Être du néant;Sans Mana;Mêlée;Le Néant;2022;
Blitzcrank;Autre;Support;Golem;Mana;Mêlée;Zaun;2009;
Brand;Masculin;Support;Humain - Altéré Magiquement;Mana;À distance;Freljord - Runeterra;2011;
Braum;Masculin;Support;Humain - Né de glace;Mana;Mêlée;Freljord;2014;
Briar;Feminin;Jungle;Golem;Coûts de santé;Mêlée;Noxus;2023;
Caitlyn;Feminin;Bas;Humain;Mana;À distance;Piltover;2011;
Camille;Feminin;Haut;Cyborg - Humain;Mana;Mêlée;Piltover;2016;
Cassiopeia;Feminin;Milieu - Haut;Humain - Altéré Magiquement;Mana;À distance;Noxus - Shurima;2010;
Cho'Gath;Masculin;Haut;Être du néant;Mana;Mêlée;Le Néant;2009;
Corki;Masculin;Bas - Milieu;Yordle;Mana;À distance;Bandle - Piltover;2009;
