Classement des champions par entropie (du plus imprévisible au plus prévisible):
======================================================================
Rang  Champion                  Entropie       
--------------------------------------------------
1     Talon                     6.1618         
2     Cassiopeia                6.1555         
3     Xin Zhao                  6.1489         
4     Riven                     6.1324         
5     Brand                     6.0790         
6     Darius                    6.0293         
7     Vi                        5.9788         
8     Syndra                    5.9469         
9     Sona                      5.9362         
10    Jarvan IV                 5.9342         
11    Irelia                    5.9034         
12    Fiora                     5.9014         
13    Graves                    5.8930         
14    Viktor                    5.8930         
15    Vladimir                  5.8854         
16    Yorick                    5.8834         
17    LeBlanc                   5.8699         
18    Swain                     5.8586         
19    Karma                     5.8331         
20    Akali                     5.8266         
21    Taliyah                   5.8224         
22    Lux                       5.8178         
23    Urgot                     5.8150         
24    Ekko                      5.8035         
25    Malzahar                  5.8019         
26    Zilean                    5.7598         
27    Quinn                     5.7550         
28    Zed                       5.7528         
29    Varus                     5.7493         
30    Kayn                      5.7180         
31    Draven                    5.7110         
32    Ivern                     5.7085         
33    Annie                     5.7031         
34    Shen                      5.7011         
35    Ryze                      5.6958         
36    Diana                     5.6900         
37    Sejuani                   5.6772         
38    Lee Sin                   5.6530         
39    Pantheon                  5.6478         
40    Gragas                    5.6462         
41    Vayne                     5.6453         
42    Garen                     5.6431         
43    Lissandra                 5.6307         
44    Caitlyn                   5.6126         
45    Lucian                    5.6109         
46    Olaf                      5.5911         
47    Leona                     5.5645         
48    Yasuo                     5.5580         
49    Katarina                  5.5571         
50    Udyr                      5.5566         
51    Jayce                     5.5282         
52    Sylas                     5.5256         
53    Ezreal                    5.5048         
54    Kassadin                  5.4893         
55    Akshan                    5.4889         
56    Elise                     5.4863         
57    Gangplank                 5.4743         
58    Miss Fortune              5.4668         
59    Illaoi                    5.4647         
60    K'Sant                   5.4632         
61    Matre Yi                 5.4630         
62    Braum                     5.4571         
63    Twisted Fate              5.4498         
64    Singed                    5.4397         
65    Sraphine                 5.4333         
66    Sivir                     5.4027         
67    Ahri                      5.3584         
68    Xerath                    5.3516         
69    Yone                      5.3481         
70    Maokai                    5.3367         
71    Camille                   5.3346         
72    Wukong                    5.3178         
73    Taric                     5.3164         
74    Samira                    5.3161         
75    Warwick                   5.3057         
76    Tryndamere                5.2921         
77    Nunu et Willump           5.2871         
78    Morgana                   5.2801         
79    Fizz                      5.2711         
80    Poppy                     5.2628         
81    Mel                       5.2620         
82    Zo                       5.2571         
83    Volibear                  5.2390         
84    Nocturne                  5.2226         
85    Jhin                      5.2174         
86    Nami                      5.1976         
87    Jinx                      5.1927         
88    Qiyana                    5.1881         
89    Ziggs                     5.1828         
90    Rell                      5.1678         
91    Hwei                      5.1601         
92    Orianna                   5.1550         
93    Gwen                      5.1055         
94    Senna                     5.0976         
95    Galio                     5.0945         
96    Veigar                    5.0901         
97    Tahm Kench                5.0860         
98    Amumu                     5.0816         
99    Shyvana                   5.0720         
100   Kennen                    5.0507         
101   Kai'Sa                    5.0407         
102   Ambessa                   5.0386         
103   Dr. Mundo                 5.0356         
104   Renekton                  5.0060         
105   Ashe                      4.9992         
106   Janna                     4.9754         
107   Rengar                    4.9718         
108   Azir                      4.9712         
109   Trundle                   4.9689         
110   Hecarim                   4.9471         
111   Renata Glasc              4.9270         
112   Aphelios                  4.9142         
113   Heimerdinger              4.9141         
114   Lulu                      4.9110         
115   Sett                      4.9072         
116   Mordekaiser               4.8955         
117   Aurelion Sol              4.8926         
118   Aatrox                    4.8877         
119   Malphite                  4.8861         
120   Anivia                    4.8777         
121   Karthus                   4.8683         
122   Skarner                   4.8482         
123   Milio                     4.8466         
124   Nautilus                  4.8270         
125   Ornn                      4.8269         
126   Kha'Zix                   4.8223         
127   Jax                       4.8009         
128   Nasus                     4.7976         
129   Kayle                     4.7956         
130   Soraka                    4.7641         
131   Rakan                     4.7523         
132   Zeri                      4.7468         
133   Lillia                    4.7433         
134   Thresh                    4.7234         
135   Rammus                    4.7164         
136   Sion                      4.7111         
137   Rumble                    4.7012         
138   Kled                      4.6944         
139   Shaco                     4.6871         
140   Nidalee                   4.6785         
141   Nilah                     4.6706         
142   Bard                      4.6623         
143   Corki                     4.6502         
144   Evelynn                   4.6484         
145   Vel'Koz                   4.6450         
146   Yuumi                     4.5900         
147   Rek'Sai                   4.5557         
148   Vex                       4.5535         
149   Alistar                   4.5224         
150   Neeko                     4.5210         
151   Teemo                     4.4956         
152   Zac                       4.4675         
153   Kog'Maw                   4.4299         
154   Xayah                     4.4281         
155   Cho'Gath                  4.4184         
156   Aurora                    4.3752         
157   Kalista                   4.3432         
158   Naafiri                   4.3407         
159   Pyke                      4.3267         
160   Twitch                    4.1323         
161   Tristana                  4.1020         
162   Gnar                      4.0571         
163   Kindred                   4.0217         
164   Smolder                   4.0093         
165   Fiddlesticks              3.9337         
166   Viego                     3.9069         
167   Briar                     3.9039         
168   Blitzcrank                3.8912         
169   Bel'Veth                  3.7118         
