Champion,Entropy
Talon,6.161763201695999
Cassiopeia,6.1554705734634725
Xin Zhao,6.148928951656242
Riven,6.132396587660301
Brand,6.0790117737679115
Darius,6.029329964832646
Vi,5.978813538503475
Syndra,5.946886191178739
Sona,5.93621154947274
Jarvan IV,5.934211060059147
Irelia,5.903447688619163
Fiora,5.901357101964009
Graves,5.893011446011596
Viktor,5.893010861055869
Vladimir,5.885429224842869
Yorick,5.883366602830693
LeBlanc,5.869907015606002
Swain,5.858575343398074
Karma,5.833116528418695
Akali,5.826559524880185
Taliyah,5.822352355314227
Lux,5.817834346219041
Urgot,5.815004534369152
Ekko,5.8035010522845
Malzahar,5.801852754737714
Zilean,5.759814101421566
Quinn,5.755004272128974
Zed,5.752774247184292
Varus,5.749325075771386
Kayn,5.717978915601668
Draven,5.711020620734502
Ivern,5.708501644747405
Annie,5.70306260828726
Shen,5.701145493360963
Ryze,5.695787856744477
Diana,5.690038691236802
Sejuani,5.677229509107675
Lee Sin,5.65298447986433
Pantheon,5.64778414736268
Gragas,5.646240586768214
Vayne,5.645324339704946
Garen,5.643146229804777
Lissandra,5.630743238049215
Caitlyn,5.612562174721626
Lucian,5.610911076351773
Olaf,5.5911470561718035
Leona,5.564475866714813
Yasuo,5.5580378121465275
Katarina,5.557135993187714
Udyr,5.556578524858476
Jayce,5.528199526690555
Sylas,5.525631372593643
Ezreal,5.504817352218111
Kassadin,5.489322105730163
Akshan,5.488861649363034
Elise,5.486335982740497
Gangplank,5.474264255644721
Miss Fortune,5.466768169147351
Illaoi,5.464680939641063
K'Sant,5.463190030815316
Matre Yi,5.463040373596361
Braum,5.457121567640312
Twisted Fate,5.449846092144878
Singed,5.439674789669099
Sraphine,5.433338216449159
Sivir,5.402713633782982
Ahri,5.358436867563998
Xerath,5.351642829476902
Yone,5.348051644402211
Maokai,5.336678421441762
Camille,5.334641761608182
Wukong,5.317845899055318
Taric,5.31635655987146
Samira,5.316132557806343
Warwick,5.305659658373467
Tryndamere,5.292109793381421
Nunu et Willump,5.287060619453461
Morgana,5.280135389129117
Fizz,5.271100476396899
Poppy,5.26280162680553
Mel,5.261980293795295
Zo,5.257132197077972
Volibear,5.238951504473072
Nocturne,5.222628821029138
Jhin,5.217403230729184
Nami,5.197589239479202
Jinx,5.192728479600257
Qiyana,5.1881389160439
Ziggs,5.182761890479254
Rell,5.167839898935493
Hwei,5.160118084686158
Orianna,5.15498091669683
Gwen,5.105542549961416
Senna,5.097647506836776
Galio,5.094488023783792
Veigar,5.090149322571929
Tahm Kench,5.085996469684979
Amumu,5.0815687106554845
Shyvana,5.0720156361487625
Kennen,5.050725384057652
Kai'Sa,5.04067263213087
Ambessa,5.038563048956344
Dr. Mundo,5.0356179763954065
Renekton,5.006005362580662
Ashe,4.999230101148114
Janna,4.975439822568831
Rengar,4.971806646868221
Azir,4.971181684034371
Trundle,4.96885229231602
Hecarim,4.9471187521043065
Renata Glasc,4.927046516675223
Aphelios,4.914162686055803
Heimerdinger,4.914051221017516
Lulu,4.910985450441892
Sett,4.907192985323367
Mordekaiser,4.895520717943245
Aurelion Sol,4.892580719658799
Aatrox,4.887677860982088
Malphite,4.886146344816632
Anivia,4.877692336887066
Karthus,4.868279762184502
Skarner,4.848206862613826
Milio,4.8465766463004885
Nautilus,4.827015586495421
Ornn,4.82691302282288
Kha'Zix,4.822270516062003
Jax,4.800887939092311
Nasus,4.797579024965358
Kayle,4.795557791036677
Soraka,4.764083366139564
Rakan,4.752291583630721
Zeri,4.746796073294
Lillia,4.743315159885339
Thresh,4.7233573220187735
Rammus,4.716369258196226
Sion,4.711063306342833
Rumble,4.701170033772201
Kled,4.694406029018217
Shaco,4.687079823860628
Nidalee,4.678496920957853
Nilah,4.670635185158581
Bard,4.662316722044257
Corki,4.650175825251982
Evelynn,4.648445637835515
Vel'Koz,4.645036290659209
Yuumi,4.589964279124601
Rek'Sai,4.555739988054233
Vex,4.553526867623245
Alistar,4.5224193564283155
Neeko,4.5210091877374685
Teemo,4.495622076384682
Zac,4.467531570754232
Kog'Maw,4.429883598368266
Xayah,4.428143703701628
Cho'Gath,4.418398403543349
Aurora,4.375188503411258
Kalista,4.343235536603194
Naafiri,4.340673967310175
Pyke,4.326740389286306
Twitch,4.132312994975189
Tristana,4.102004986365463
Gnar,4.057095756455675
Kindred,4.0217274897238875
Smolder,4.009309858651924
Fiddlesticks,3.933654933615398
Viego,3.9069441420516635
Briar,3.903871195210048
Blitzcrank,3.891213794250916
Bel'Veth,3.7118465860497296
