Aatrox;Ahri;Akali;Akshan;Alistar;Ambessa;Amumu;Anivia;Annie;Aphelios;Ashe;Aurelion Sol;Aurora;Azir;Bard;Bel'Veth;Blitzcrank;Brand;Braum;Briar;Caitlyn;Camille;Cassiopeia;Cho'Gath;Corki;Darius;Diana;Dr. Mundo;Draven;Ekko;Elise;Evelynn;Ezreal;Fiddlesticks;Fiora;Fizz;Galio;Gangplank;Garen;Gnar;Gragas;Graves;Gwen;Hecarim;Heimerdinger;Hwei;Illaoi;Irelia;Ivern;Janna;Jarvan IV;Jax;Jayce;Jhin;Jinx;K'Sant‚;Kai'Sa;Kalista;Karma;Karthus;Kassadin;Katarina;Kayle;Kayn;Kennen;Kha'Zix;Kindred;Kled;Kog'Maw;LeBlanc;Lee Sin;Leona;Lillia;Lissandra;Lucian;Lulu;Lux;Malphite;Malzahar;Maokai;MaŒtre Yi;Mel;Milio;Miss Fortune;Mordekaiser;Morgana;Naafiri;Nami;Nasus;Nautilus;Neeko;Nidalee;Nilah;Nocturne;Nunu et Willump;Olaf;Orianna;Ornn;Pantheon;Poppy;Pyke;Qiyana;Quinn;Rakan;Rammus;Rek'Sai;Rell;Renata Glasc;Renekton;Rengar;Riven;Rumble;Ryze;Samira;Sejuani;Senna;S‚raphine;Sett;Shaco;Shen;Shyvana;Singed;Sion;Sivir;Skarner;Smolder;Sona;Soraka;Swain;Sylas;Syndra;Tahm Kench;Taliyah;Talon;Taric;Teemo;Thresh;Tristana;Tryndamere;Twisted Fate;Twitch;Udyr;Urgot;Varus;Vayne;Veigar;Vel'Koz;Vex;Vi;Viego;Viktor;Vladimir;Volibear;Warwick;Wukong;Xayah;Xerath;Xin Zhao;Yasuo;Yone;Yorick;Yuumi;Zac;Zed;Zeri;Ziggs;Zilean;Zo‚;Trundle
0.106509;0.112426;0.100592;0.100592;0.118343;0.112426;0.136095;0.106509;0.065089;0.142012;0.076923;0.159763;0.118343;0.159763;0.171598;0.201183;0.195266;0.04142;0.088757;0.189349;0.071006;0.088757;0.053254;0.171598;0.136095;0.053254;0.065089;0.094675;0.094675;0.076923;0.071006;0.171598;0.076923;0.284024;0.059172;0.112426;0.100592;0.094675;0.076923;0.207101;0.076923;0.059172;0.106509;0.112426;0.094675;0.118343;0.076923;0.059172;0.065089;0.094675;0.059172;0.142012;0.08284;0.118343;0.118343;0.088757;0.106509;0.201183;0.059172;0.136095;0.071006;0.100592;0.12426;0.059172;0.112426;0.112426;0.224852;0.130178;0.130178;0.071006;0.065089;0.059172;0.147929;0.100592;0.100592;0.153846;0.047337;0.147929;0.065089;0.076923;0.100592;0.088757;0.106509;0.059172;0.118343;0.065089;0.195266;0.130178;0.159763;0.147929;0.153846;0.142012;0.12426;0.112426;0.112426;0.088757;0.112426;0.136095;0.059172;0.076923;0.183432;0.12426;0.065089;0.16568;0.159763;0.130178;0.100592;0.106509;0.106509;0.106509;0.053254;0.106509;0.076923;0.112426;0.071006;0.100592;0.106509;0.112426;0.171598;0.053254;0.100592;0.08284;0.153846;0.088757;0.112426;0.201183;0.047337;0.112426;0.053254;0.112426;0.088757;0.08284;0.059172;0.035503;0.071006;0.142012;0.171598;0.16568;0.100592;0.059172;0.16568;0.094675;0.059172;0.065089;0.065089;0.100592;0.147929;0.207101;0.053254;0.189349;0.059172;0.053254;0.100592;0.08284;0.08284;0.218935;0.076923;0.047337;0.12426;0.094675;0.065089;0.195266;0.12426;0.100592;0.142012;0.147929;0.059172;0.088757;0.130178
0.088757;0.065089;0.059172;0.065089;0.112426;0.076923;0.100592;0.08284;0.053254;0.094675;0.071006;0.076923;0.112426;0.08284;0.094675;0.189349;0.177515;0.04142;0.076923;0.177515;0.053254;0.071006;0.04142;0.12426;0.106509;0.047337;0.047337;0.08284;0.065089;0.047337;0.071006;0.118343;0.053254;0.136095;0.047337;0.076923;0.094675;0.065089;0.059172;0.153846;0.053254;0.04142;0.076923;0.08284;0.088757;0.076923;0.065089;0.035503;0.059172;0.076923;0.047337;0.08284;0.053254;0.094675;0.088757;0.08284;0.100592;0.100592;0.053254;0.100592;0.071006;0.053254;0.100592;0.053254;0.088757;0.094675;0.130178;0.130178;0.112426;0.065089;0.053254;0.059172;0.142012;0.059172;0.053254;0.065089;0.047337;0.106509;0.059172;0.065089;0.065089;0.053254;0.094675;0.053254;0.094675;0.065089;0.136095;0.059172;0.112426;0.08284;0.088757;0.106509;0.106509;0.076923;0.08284;0.059172;0.071006;0.130178;0.053254;0.076923;0.136095;0.094675;0.047337;0.12426;0.112426;0.130178;0.076923;0.088757;0.076923;0.088757;0.04142;0.088757;0.047337;0.071006;0.059172;0.094675;0.076923;0.076923;0.118343;0.047337;0.08284;0.076923;0.12426;0.065089;0.088757;0.118343;0.047337;0.094675;0.047337;0.053254;0.059172;0.08284;0.053254;0.035503;0.071006;0.12426;0.088757;0.112426;0.071006;0.059172;0.12426;0.059172;0.059172;0.053254;0.053254;0.076923;0.088757;0.100592;0.047337;0.177515;0.053254;0.053254;0.088757;0.071006;0.071006;0.12426;0.059172;0.047337;0.08284;0.071006;0.047337;0.112426;0.118343;0.065089;0.100592;0.071006;0.053254;0.071006;0.100592
0.065089;0.053254;0.04142;0.053254;0.100592;0.071006;0.076923;0.08284;0.047337;0.059172;0.065089;0.065089;0.100592;0.071006;0.094675;0.16568;0.112426;0.035503;0.065089;0.159763;0.04142;0.071006;0.035503;0.088757;0.08284;0.04142;0.047337;0.065089;0.035503;0.047337;0.065089;0.071006;0.047337;0.076923;0.04142;0.053254;0.08284;0.053254;0.059172;0.118343;0.053254;0.04142;0.071006;0.08284;0.076923;0.071006;0.059172;0.035503;0.053254;0.065089;0.04142;0.076923;0.053254;0.053254;0.047337;0.065089;0.065089;0.076923;0.047337;0.076923;0.065089;0.047337;0.100592;0.04142;0.08284;0.076923;0.112426;0.094675;0.088757;0.053254;0.053254;0.053254;0.118343;0.04142;0.047337;0.065089;0.04142;0.076923;0.053254;0.059172;0.053254;0.053254;0.071006;0.053254;0.08284;0.053254;0.106509;0.053254;0.088757;0.071006;0.08284;0.100592;0.088757;0.065089;0.053254;0.059172;0.065089;0.094675;0.035503;0.059172;0.12426;0.071006;0.047337;0.118343;0.08284;0.106509;0.076923;0.08284;0.071006;0.08284;0.035503;0.08284;0.04142;0.053254;0.053254;0.08284;0.053254;0.071006;0.071006;0.047337;0.08284;0.053254;0.065089;0.059172;0.08284;0.106509;0.047337;0.076923;0.047337;0.047337;0.035503;0.076923;0.047337;0.035503;0.053254;0.106509;0.08284;0.100592;0.071006;0.053254;0.088757;0.053254;0.053254;0.047337;0.047337;0.071006;0.065089;0.094675;0.035503;0.153846;0.04142;0.047337;0.065089;0.053254;0.071006;0.071006;0.053254;0.04142;0.053254;0.071006;0.04142;0.100592;0.100592;0.053254;0.071006;0.059172;0.053254;0.047337;0.076923
0.065089;0.053254;0.04142;0.047337;0.076923;0.059172;0.047337;0.076923;0.04142;0.053254;0.059172;0.065089;0.094675;0.059172;0.071006;0.088757;0.08284;0.035503;0.059172;0.08284;0.04142;0.059172;0.029586;0.059172;0.076923;0.035503;0.04142;0.059172;0.035503;0.04142;0.065089;0.059172;0.047337;0.053254;0.04142;0.053254;0.059172;0.053254;0.047337;0.08284;0.047337;0.04142;0.059172;0.076923;0.065089;0.071006;0.053254;0.035503;0.047337;0.065089;0.04142;0.059172;0.04142;0.053254;0.047337;0.059172;0.059172;0.071006;0.04142;0.059172;0.053254;0.047337;0.059172;0.04142;0.076923;0.076923;0.08284;0.071006;0.076923;0.04142;0.047337;0.047337;0.047337;0.04142;0.047337;0.059172;0.04142;0.04142;0.047337;0.047337;0.047337;0.053254;0.071006;0.047337;0.065089;0.053254;0.071006;0.053254;0.047337;0.071006;0.08284;0.065089;0.071006;0.065089;0.053254;0.047337;0.059172;0.059172;0.035503;0.059172;0.071006;0.053254;0.047337;0.053254;0.053254;0.065089;0.071006;0.071006;0.071006;0.071006;0.035503;0.076923;0.04142;0.053254;0.047337;0.065089;0.053254;0.065089;0.059172;0.035503;0.071006;0.053254;0.053254;0.047337;0.071006;0.08284;0.04142;0.076923;0.04142;0.047337;0.035503;0.065089;0.047337;0.029586;0.047337;0.065089;0.047337;0.100592;0.053254;0.053254;0.088757;0.04142;0.047337;0.04142;0.047337;0.059172;0.059172;0.065089;0.035503;0.08284;0.04142;0.029586;0.053254;0.053254;0.059172;0.071006;0.047337;0.035503;0.035503;0.065089;0.035503;0.065089;0.08284;0.047337;0.071006;0.047337;0.047337;0.047337;0.059172
0.065089;0.053254;0.035503;0.04142;0.076923;0.059172;0.04142;0.071006;0.04142;0.053254;0.059172;0.047337;0.08284;0.047337;0.047337;0.053254;0.076923;0.035503;0.047337;0.053254;0.035503;0.053254;0.029586;0.053254;0.059172;0.035503;0.04142;0.053254;0.035503;0.029586;0.047337;0.059172;0.047337;0.053254;0.04142;0.047337;0.053254;0.035503;0.047337;0.076923;0.04142;0.035503;0.053254;0.053254;0.053254;0.053254;0.053254;0.029586;0.047337;0.059172;0.029586;0.053254;0.04142;0.04142;0.04142;0.047337;0.053254;0.059172;0.04142;0.053254;0.047337;0.047337;0.059172;0.04142;0.047337;0.065089;0.076923;0.059172;0.076923;0.04142;0.047337;0.047337;0.04142;0.035503;0.029586;0.059172;0.04142;0.04142;0.04142;0.047337;0.04142;0.047337;0.065089;0.047337;0.053254;0.053254;0.065089;0.047337;0.047337;0.053254;0.08284;0.053254;0.053254;0.053254;0.047337;0.047337;0.047337;0.047337;0.035503;0.059172;0.04142;0.047337;0.047337;0.04142;0.053254;0.065089;0.065089;0.065089;0.053254;0.059172;0.035503;0.065089;0.035503;0.047337;0.035503;0.059172;0.047337;0.059172;0.059172;0.035503;0.065089;0.047337;0.053254;0.04142;0.065089;0.071006;0.04142;0.059172;0.04142;0.047337;0.029586;0.053254;0.047337;0.029586;0.047337;0.065089;0.047337;0.08284;0.053254;0.053254;0.08284;0.035503;0.035503;0.029586;0.04142;0.053254;0.053254;0.059172;0.035503;0.059172;0.04142;0.029586;0.053254;0.047337;0.053254;0.059172;0.04142;0.029586;0.029586;0.053254;0.035503;0.053254;0.065089;0.04142;0.053254;0.04142;0.04142;0.047337;0.059172
0.047337;0.04142;0.023669;0.04142;0.071006;0.053254;0.035503;0.059172;0.035503;0.053254;0.047337;0.047337;0.059172;0.04142;0.04142;0.047337;0.065089;0.035503;0.035503;0.04142;0.035503;0.047337;0.023669;0.047337;0.047337;0.035503;0.04142;0.047337;0.029586;0.029586;0.047337;0.053254;0.047337;0.047337;0.035503;0.04142;0.047337;0.029586;0.035503;0.047337;0.04142;0.035503;0.053254;0.053254;0.053254;0.047337;0.047337;0.029586;0.04142;0.047337;0.029586;0.047337;0.035503;0.04142;0.035503;0.035503;0.047337;0.047337;0.035503;0.047337;0.04142;0.04142;0.035503;0.029586;0.04142;0.059172;0.053254;0.053254;0.071006;0.035503;0.04142;0.047337;0.035503;0.035503;0.029586;0.04142;0.035503;0.04142;0.035503;0.04142;0.04142;0.047337;0.059172;0.04142;0.053254;0.053254;0.047337;0.04142;0.04142;0.04142;0.065089;0.04142;0.047337;0.04142;0.04142;0.035503;0.047337;0.04142;0.035503;0.04142;0.035503;0.04142;0.035503;0.029586;0.04142;0.047337;0.047337;0.059172;0.047337;0.047337;0.029586;0.065089;0.035503;0.047337;0.035503;0.053254;0.047337;0.053254;0.047337;0.035503;0.047337;0.035503;0.047337;0.035503;0.053254;0.071006;0.035503;0.059172;0.04142;0.04142;0.029586;0.047337;0.04142;0.029586;0.047337;0.053254;0.047337;0.076923;0.04142;0.053254;0.08284;0.035503;0.035503;0.029586;0.035503;0.04142;0.053254;0.04142;0.029586;0.047337;0.035503;0.029586;0.04142;0.04142;0.04142;0.047337;0.035503;0.023669;0.029586;0.04142;0.029586;0.04142;0.065089;0.023669;0.047337;0.035503;0.035503;0.04142;0.035503
0.04142;0.035503;0.023669;0.035503;0.04142;0.04142;0.035503;0.035503;0.035503;0.047337;0.047337;0.04142;0.053254;0.04142;0.035503;0.029586;0.035503;0.023669;0.029586;0.04142;0.035503;0.035503;0.023669;0.04142;0.047337;0.029586;0.029586;0.04142;0.029586;0.029586;0.04142;0.035503;0.04142;0.047337;0.029586;0.04142;0.04142;0.029586;0.029586;0.023669;0.04142;0.029586;0.04142;0.04142;0.047337;0.04142;0.04142;0.029586;0.04142;0.04142;0.029586;0.04142;0.035503;0.04142;0.035503;0.029586;0.04142;0.047337;0.035503;0.04142;0.035503;0.035503;0.035503;0.029586;0.035503;0.04142;0.035503;0.053254;0.04142;0.035503;0.04142;0.04142;0.035503;0.029586;0.029586;0.035503;0.035503;0.035503;0.029586;0.035503;0.035503;0.04142;0.053254;0.04142;0.04142;0.047337;0.035503;0.035503;0.035503;0.035503;0.053254;0.035503;0.047337;0.04142;0.035503;0.023669;0.047337;0.029586;0.029586;0.04142;0.029586;0.035503;0.029586;0.023669;0.035503;0.04142;0.035503;0.047337;0.047337;0.047337;0.023669;0.059172;0.029586;0.035503;0.035503;0.04142;0.04142;0.053254;0.035503;0.029586;0.035503;0.035503;0.04142;0.035503;0.04142;0.047337;0.029586;0.053254;0.04142;0.035503;0.029586;0.047337;0.029586;0.023669;0.047337;0.04142;0.04142;0.053254;0.035503;0.047337;0.04142;0.029586;0.029586;0.029586;0.035503;0.04142;0.053254;0.029586;0.029586;0.035503;0.029586;0.029586;0.035503;0.04142;0.035503;0.035503;0.035503;0.023669;0.029586;0.04142;0.029586;0.029586;0.059172;0.023669;0.047337;0.035503;0.035503;0.04142;0.035503
0.04142;0.035503;0.023669;0.029586;0.04142;0.035503;0.035503;0.035503;0.029586;0.04142;0.04142;0.035503;0.053254;0.035503;0.035503;0.029586;0.035503;0.023669;0.029586;0.023669;0.035503;0.035503;0.023669;0.04142;0.04142;0.029586;0.029586;0.035503;0.023669;0.029586;0.035503;0.029586;0.035503;0.04142;0.029586;0.04142;0.029586;0.029586;0.029586;0.023669;0.035503;0.029586;0.04142;0.04142;0.047337;0.035503;0.029586;0.029586;0.035503;0.04142;0.029586;0.04142;0.035503;0.04142;0.029586;0.029586;0.035503;0.04142;0.029586;0.035503;0.029586;0.035503;0.035503;0.029586;0.035503;0.04142;0.035503;0.029586;0.04142;0.023669;0.035503;0.029586;0.029586;0.029586;0.029586;0.035503;0.035503;0.035503;0.029586;0.035503;0.029586;0.035503;0.047337;0.04142;0.035503;0.04142;0.023669;0.029586;0.029586;0.029586;0.047337;0.035503;0.04142;0.035503;0.029586;0.023669;0.04142;0.029586;0.029586;0.04142;0.029586;0.035503;0.029586;0.023669;0.035503;0.04142;0.035503;0.04142;0.047337;0.04142;0.023669;0.047337;0.029586;0.035503;0.035503;0.035503;0.029586;0.047337;0.029586;0.029586;0.035503;0.029586;0.035503;0.035503;0.035503;0.035503;0.029586;0.035503;0.04142;0.035503;0.023669;0.035503;0.029586;0.023669;0.04142;0.035503;0.04142;0.04142;0.029586;0.035503;0.04142;0.029586;0.029586;0.023669;0.035503;0.035503;0.04142;0.029586;0.023669;0.023669;0.029586;0.029586;0.029586;0.04142;0.035503;0.029586;0.035503;0.023669;0.023669;0.035503;0.029586;0.023669;0.04142;0.023669;0.04142;0.029586;0.035503;0.04142;0.029586
0.04142;0.029586;0.023669;0.029586;0.035503;0.029586;0.029586;0.035503;0.029586;0.029586;0.04142;0.029586;0.047337;0.029586;0.029586;0.017751;0.023669;0.023669;0.023669;0.017751;0.035503;0.023669;0.023669;0.035503;0.029586;0.029586;0.029586;0.035503;0.023669;0.029586;0.029586;0.029586;0.035503;0.035503;0.029586;0.029586;0.029586;0.029586;0.023669;0.017751;0.029586;0.029586;0.035503;0.035503;0.04142;0.029586;0.023669;0.029586;0.029586;0.035503;0.029586;0.029586;0.035503;0.035503;0.029586;0.023669;0.029586;0.04142;0.029586;0.029586;0.029586;0.029586;0.029586;0.029586;0.023669;0.04142;0.029586;0.023669;0.035503;0.017751;0.029586;0.029586;0.023669;0.029586;0.023669;0.029586;0.035503;0.029586;0.023669;0.035503;0.029586;0.035503;0.04142;0.035503;0.029586;0.04142;0.023669;0.029586;0.029586;0.029586;0.029586;0.029586;0.035503;0.029586;0.029586;0.023669;0.035503;0.023669;0.029586;0.035503;0.023669;0.029586;0.029586;0.023669;0.035503;0.035503;0.029586;0.04142;0.035503;0.029586;0.023669;0.035503;0.029586;0.029586;0.029586;0.029586;0.023669;0.035503;0.029586;0.029586;0.029586;0.029586;0.029586;0.035503;0.035503;0.029586;0.029586;0.029586;0.029586;0.029586;0.023669;0.035503;0.029586;0.023669;0.04142;0.029586;0.035503;0.04142;0.023669;0.029586;0.04142;0.023669;0.023669;0.023669;0.035503;0.035503;0.04142;0.017751;0.023669;0.017751;0.029586;0.029586;0.029586;0.035503;0.023669;0.023669;0.035503;0.023669;0.023669;0.029586;0.029586;0.017751;0.035503;0.017751;0.04142;0.029586;0.029586;0.04142;0.029586
0.029586;0.023669;0.023669;0.023669;0.035503;0.029586;0.023669;0.029586;0.023669;0.029586;0.04142;0.023669;0.029586;0.023669;0.029586;0.017751;0.017751;0.023669;0.023669;0.017751;0.035503;0.023669;0.023669;0.035503;0.029586;0.029586;0.023669;0.029586;0.023669;0.029586;0.029586;0.029586;0.029586;0.023669;0.029586;0.029586;0.029586;0.023669;0.023669;0.017751;0.023669;0.023669;0.029586;0.035503;0.035503;0.017751;0.023669;0.029586;0.023669;0.035503;0.023669;0.023669;0.029586;0.029586;0.029586;0.017751;0.029586;0.035503;0.029586;0.029586;0.023669;0.023669;0.029586;0.029586;0.023669;0.035503;0.017751;0.023669;0.035503;0.017751;0.029586;0.029586;0.017751;0.023669;0.023669;0.029586;0.023669;0.029586;0.023669;0.035503;0.029586;0.035503;0.029586;0.029586;0.023669;0.035503;0.017751;0.029586;0.029586;0.029586;0.023669;0.029586;0.035503;0.029586;0.023669;0.023669;0.029586;0.023669;0.029586;0.035503;0.023669;0.029586;0.029586;0.023669;0.035503;0.029586;0.029586;0.023669;0.029586;0.023669;0.023669;0.029586;0.029586;0.029586;0.029586;0.029586;0.023669;0.029586;0.029586;0.029586;0.023669;0.029586;0.029586;0.035503;0.029586;0.029586;0.029586;0.029586;0.029586;0.029586;0.017751;0.035503;0.023669;0.023669;0.035503;0.029586;0.029586;0.029586;0.023669;0.023669;0.04142;0.023669;0.023669;0.023669;0.035503;0.029586;0.035503;0.017751;0.023669;0.017751;0.023669;0.029586;0.023669;0.029586;0.023669;0.023669;0.035503;0.023669;0.023669;0.029586;0.023669;0.017751;0.035503;0.017751;0.04142;0.029586;0.029586;0.04142;0.029586
